date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:20	33182/33182	---M--	200	added ('OK')	image/jpeg	etag:%2250467-819e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/nav/soup.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/nav/soup.jpg	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:20	38325/38325	---M--	200	added ('OK')	image/jpeg	etag:%2250468-95b5-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/nav/salads.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/nav/salads.jpg	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:21	12984/12984	---M-Z	200	added ('OK')	text/html	etag:%224694d-32b8-500e545f8d740%22	http://demo.yosoftware.com/html/berg/contact.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/contact.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:21	37667/37667	---M-Z	200	added ('OK')	text/html	etag:%2246982-9323-500e545f8d740%22	http://demo.yosoftware.com/html/berg/shop.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/shop.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:22	33864/33864	---M-Z	200	added ('OK')	text/html	etag:%2246977-8448-500e545f8d740%22	http://demo.yosoftware.com/html/berg/menu2.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/menu2.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:22	42814/42814	---M-Z	200	added ('OK')	text/html	etag:%2246972-a73e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/menu3.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/menu3.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:22	33902/33902	---M-Z	200	added ('OK')	text/html	etag:%224694f-846e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/typography.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/typography.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:22	14444/14444	---M-Z	200	added ('OK')	text/html	etag:%2246983-386c-500e545f8d740%22	http://demo.yosoftware.com/html/berg/gallery.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/gallery.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:22	11379/11379	---M-Z	200	added ('OK')	text/html	etag:%2246975-2c73-500e545f8d740%22	http://demo.yosoftware.com/html/berg/fullscreen-intro.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/fullscreen-intro.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:23	11319/11319	---M-Z	200	added ('OK')	text/html	etag:%224697b-2c37-500e545f8d740%22	http://demo.yosoftware.com/html/berg/top-intro.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/top-intro.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:23	48860/48860	---M--	200	added ('OK')	image/jpeg	etag:%2250463-bedc-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/nav/mains.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/nav/mains.jpg	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:23	10872/10872	---M-Z	200	added ('OK')	text/html	etag:%224697e-2a78-500e545f8d740%22	http://demo.yosoftware.com/html/berg/without-intro.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/without-intro.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:23	213/213	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Mar%202017%2020:07:22%20GMT	http://demo.yosoftware.com/html/berg/index	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:24	2353/2353	---M-Z	200	added ('OK')	application/javascript	etag:%224695f-931-500e545f8d740%22	http://demo.yosoftware.com/html/berg/js/browser.js	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/js/browser.js	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:24	731/731	---M-Z	200	added ('OK')	application/javascript	etag:%224695a-2db-500e545f8d740%22	http://demo.yosoftware.com/html/berg/js/jquery.ba-throttle-debounce.min.js	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/js/jquery.ba-throttle-debounce.min.js	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:24	1242/1242	---M-Z	200	added ('OK')	application/javascript	etag:%224695c-4da-500e545f8d740%22	http://demo.yosoftware.com/html/berg/js/matchmedia.js	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/js/matchmedia.js	(from http://demo.yosoftware.com/html/berg/index.html)
